,y_act,y_pred_random_forest,y_pred_logistic,df_prec_ran,df_prec_loc
0,1,0.639816239,0.531903798,1,1
1,0,0.490992931,0.414496134,0,0
2,1,0.623814545,0.56988259,1,1
3,1,0.506616321,0.443673982,1,0
4,0,0.418301821,0.369532246,0,0
5,0,0.540665026,0.582447424,1,1
6,0,0.333361061,0.376541858,0,0
7,0,0.309166374,0.287872093,0,0
8,0,0.532530544,0.524140608,1,1
9,0,0.42343359,0.435693303,0,0
10,1,0.521916763,0.567196316,1,1
11,1,0.743298971,0.824111223,1,1
12,0,0.417497107,0.452921167,0,0
13,1,0.554352582,0.563542402,1,1
14,0,0.463867209,0.47115097,0,0
15,1,0.758784301,0.723438466,1,1
16,1,0.532429246,0.378875067,1,0
17,1,0.413642485,0.362574839,0,0
18,0,0.379254155,0.295488776,0,0
19,0,0.436572271,0.571983908,0,1
20,0,0.449132781,0.418533649,0,0
21,1,0.617142237,0.645555761,1,1
22,1,0.587257384,0.531826204,1,1
23,0,0.433065492,0.346788835,0,0
24,0,0.442715543,0.433066334,0,0
25,1,0.630752142,0.507388819,1,1
26,1,0.497104512,0.517194325,0,1
27,1,0.508553155,0.450013867,1,0
28,1,0.652765705,0.593183251,1,1
29,0,0.537644825,0.664163883,1,1
30,0,0.373786654,0.372076521,0,0
31,0,0.494532221,0.527718229,0,1
32,0,0.438732574,0.414813447,0,0
33,1,0.657171047,0.418148931,1,0
34,0,0.346871446,0.328100913,0,0
35,1,0.437408174,0.40607648,0,0
36,0,0.47272158,0.517981056,0,1
37,1,0.457259942,0.520188653,0,1
38,1,0.623441706,0.585759673,1,1
39,0,0.363705861,0.352444862,0,0
40,1,0.425102664,0.348058533,0,0
41,0,0.554612596,0.539238195,1,1
42,0,0.380346103,0.412593015,0,0
43,0,0.41227479,0.406061105,0,0
44,0,0.338183976,0.353300366,0,0
45,0,0.525634723,0.606652466,1,1
46,1,0.516313601,0.390262441,1,0
47,1,0.504914681,0.498945668,1,0
48,0,0.487002939,0.47437694,0,0
49,1,0.56697188,0.656916044,1,1
50,1,0.458105601,0.390612638,0,0
51,0,0.469317976,0.364488638,0,0
52,0,0.482020984,0.321580884,0,0
53,1,0.627960574,0.494749035,1,0
54,0,0.482248041,0.4746381,0,0
55,1,0.488240121,0.408642694,0,0
56,1,0.668573465,0.65407514,1,1
57,1,0.531457768,0.453473261,1,0
58,1,0.44550201,0.333742194,0,0
59,0,0.410741759,0.388643263,0,0
60,0,0.391519506,0.423862799,0,0
61,1,0.529068946,0.533001516,1,1
62,0,0.516734106,0.645805952,1,1
63,0,0.417168171,0.379451754,0,0
64,0,0.397591676,0.432220743,0,0
65,1,0.389391142,0.33286699,0,0
66,1,0.425941314,0.442413571,0,0
67,1,0.755667783,0.792518935,1,1
68,0,0.406478715,0.361648125,0,0
69,0,0.418915209,0.381314875,0,0
70,0,0.493870943,0.516639419,0,1
71,0,0.453505517,0.408169971,0,0
72,0,0.632286961,0.534178672,1,1
73,1,0.429617,0.333969961,0,0
74,0,0.69377532,0.624279824,1,1
75,1,0.539696227,0.699450961,1,1
76,0,0.501172513,0.43536771,1,0
77,1,0.440963436,0.417030943,0,0
78,0,0.579729791,0.542877334,1,1
79,1,0.515944267,0.619093681,1,1
80,0,0.470517674,0.399051182,0,0
81,0,0.580430284,0.582205174,1,1
82,1,0.545049323,0.576955002,1,1
83,1,0.466638208,0.44295237,0,0
84,0,0.447856293,0.466828707,0,0
85,1,0.597500901,0.655909813,1,1
86,0,0.506893338,0.456289538,1,0
87,0,0.441914989,0.35020723,0,0
88,0,0.337132455,0.430408507,0,0
89,1,0.611869901,0.62685207,1,1
90,0,0.397104905,0.371284067,0,0
91,1,0.596919181,0.409191056,1,0
92,1,0.601162827,0.495985059,1,0
93,1,0.411901517,0.367448047,0,0
94,0,0.519142858,0.540219476,1,1
95,1,0.851413933,0.941451996,1,1
96,0,0.3253393,0.344702792,0,0
97,1,0.616381097,0.526555484,1,1
98,0,0.524842867,0.499061374,1,0
99,1,0.385712278,0.325120501,0,0
100,1,0.665480074,0.622168994,1,1
101,0,0.381426625,0.312179837,0,0
102,0,0.415628818,0.271106298,0,0
103,0,0.413202536,0.351128725,0,0
104,1,0.531210461,0.493674428,1,0
105,0,0.416184277,0.365750796,0,0
106,0,0.493009927,0.572185842,0,1
107,1,0.599255526,0.595993004,1,1
108,0,0.387873208,0.349552926,0,0
109,0,0.440860896,0.44066049,0,0
110,1,0.447032667,0.427967423,0,0
111,1,0.493383805,0.466646378,0,0
112,1,0.33456132,0.379087643,0,0
113,0,0.371675427,0.342357947,0,0
114,0,0.510513367,0.477364151,1,0
115,0,0.470055879,0.467266686,0,0
116,1,0.391491928,0.287568757,0,0
117,1,0.646867899,0.694279485,1,1
118,1,0.430684938,0.386186921,0,0
119,1,0.421323687,0.338422415,0,0
120,1,0.582131454,0.7573147,1,1
121,0,0.483853508,0.614393913,0,1
122,1,0.409356342,0.350630688,0,0
123,1,0.56116828,0.529758123,1,1
124,0,0.596378711,0.627266858,1,1
125,0,0.451762642,0.462218067,0,0
126,0,0.49518292,0.487004385,0,0
127,0,0.492987155,0.477655935,0,0
128,0,0.404141021,0.384441837,0,0
129,1,0.574236242,0.374080279,1,0
130,0,0.570427456,0.499290676,1,0
131,0,0.531787143,0.423174503,1,0
132,1,0.373650253,0.421893025,0,0
133,0,0.196003827,0.536496176,0,1
134,1,0.621365577,0.571891932,1,1
135,0,0.384942334,0.36988822,0,0
136,1,0.587626635,0.520240701,1,1
137,1,0.551530331,0.622836664,1,1
138,0,0.451698108,0.397316598,0,0
139,1,0.361965345,0.352177243,0,0
140,1,0.468608796,0.407905218,0,0
141,1,0.579762156,0.758398772,1,1
142,0,0.557387306,0.651747915,1,1
143,0,0.366870258,0.533908088,0,1
144,0,0.431053637,0.429480635,0,0
145,1,0.450146498,0.391388699,0,0
146,0,0.47996006,0.572326048,0,1
147,1,0.744886378,0.821335328,1,1
148,1,0.535689155,0.469801669,1,0
149,0,0.578342462,0.589099826,1,1
150,1,0.488880572,0.447215322,0,0
151,1,0.424736123,0.398566856,0,0
152,1,0.650687587,0.710313069,1,1
153,0,0.513014345,0.491351531,1,0
154,0,0.499733294,0.525410689,0,1
155,1,0.43908127,0.36321126,0,0
156,0,0.508985346,0.486444216,1,0
157,0,0.524191269,0.504233195,1,1
158,0,0.547151406,0.52479784,1,1
159,0,0.534692746,0.60983499,1,1
160,1,0.56069961,0.369072747,1,0
161,1,0.55662863,0.581199741,1,1
162,1,0.410702666,0.416081198,0,0
163,0,0.569184021,0.525698258,1,1
164,1,0.548282638,0.549264887,1,1
165,1,0.548236071,0.473954289,1,0
166,1,0.676215514,0.696763184,1,1
167,0,0.451281044,0.353998633,0,0
168,1,0.722977031,0.832480931,1,1
169,1,0.492775265,0.451533339,0,0
170,0,0.451541835,0.471879142,0,0
171,0,0.342957211,0.384611233,0,0
172,1,0.761323212,0.646675885,1,1
173,0,0.34922983,0.392086764,0,0
174,0,0.524191269,0.507160727,1,1
175,0,0.337639572,0.321529117,0,0
176,1,0.691852762,0.591241316,1,1
177,1,0.476715326,0.479551472,0,0
178,1,0.688371198,0.504379176,1,1
179,0,0.449033076,0.34358189,0,0
180,0,0.503477992,0.657612268,1,1
181,0,0.419040577,0.367601245,0,0
182,0,0.571788124,0.519256193,1,1
183,0,0.335543611,0.404065366,0,0
184,1,0.523241416,0.708570056,1,1
185,0,0.458105601,0.352678794,0,0
186,1,0.364643122,0.262517876,0,0
187,0,0.462079174,0.37333982,0,0
188,1,0.59221825,0.573930815,1,1
189,0,0.581858097,0.810058875,1,1
190,1,0.646893598,0.92464673,1,1
191,0,0.372596137,0.296597753,0,0
192,1,0.45109622,0.485146679,0,0
193,1,0.448483069,0.333620315,0,0
194,1,0.388920184,0.434060462,0,0
195,1,0.638385115,0.873054967,1,1
196,1,0.496099396,0.450814497,0,0
197,1,0.657895397,0.470408601,1,0
198,0,0.400730986,0.370183694,0,0
199,1,0.528862898,0.626265924,1,1
200,0,0.331134182,0.379955169,0,0
201,1,0.699116709,0.845974815,1,1
202,1,0.524218109,0.513236455,1,1
203,1,0.652851759,0.567802292,1,1
204,1,0.505566655,0.419870667,1,0
205,1,0.578482187,0.731144763,1,1
206,0,0.471156091,0.38619276,0,0
207,1,0.737935435,0.751601061,1,1
208,0,0.623943464,0.758639368,1,1
209,0,0.592386386,0.698348398,1,1
210,1,0.499765004,0.422127481,0,0
211,0,0.474929337,0.534042161,0,1
212,0,0.518478958,0.517619572,1,1
213,1,0.461180623,0.419637323,0,0
214,0,0.409309011,0.33373523,0,0
215,0,0.519405647,0.390935049,1,0
216,0,0.36881946,0.370247799,0,0
217,0,0.569727638,0.65112208,1,1
218,1,0.66512672,0.737518043,1,1
219,0,0.483040046,0.412879694,0,0
220,1,0.713307201,0.755968306,1,1
221,0,0.349166159,0.705171402,0,1
222,0,0.477914746,0.46643035,0,0
223,1,0.484327626,0.402720279,0,0
224,1,0.4129311,0.37025029,0,0
225,1,0.625902303,0.633605994,1,1
226,1,0.522576873,0.488210737,1,0
227,1,0.42980711,0.391067873,0,0
228,1,0.608998955,0.710929657,1,1
229,1,0.509370925,0.500460968,1,1
230,0,0.381058179,0.370882211,0,0
231,0,0.192345975,0.000547002,0,0
232,1,0.449950021,0.416340627,0,0
233,1,0.640577052,0.897170147,1,1
234,0,0.482040028,0.304653724,0,0
235,1,0.582149699,0.465680939,1,0
236,0,0.492599321,0.398764656,0,0
237,1,0.654268559,0.700848794,1,1
238,1,0.42625174,0.360472343,0,0
239,1,0.661413214,0.869411651,1,1
240,0,0.435997775,0.319262742,0,0
241,0,0.493388781,0.519482934,0,1
242,1,0.697147393,0.953755239,1,1
243,1,0.408316561,0.325467146,0,0
244,1,0.579155105,0.622988861,1,1
245,0,0.534407713,0.459513134,1,0
246,1,0.506400717,0.496867003,1,0
247,1,0.622444773,0.525418292,1,1
248,1,0.655509702,0.565256951,1,1
249,0,0.483102655,0.424406824,0,0
250,0,0.552504398,0.545492575,1,1
251,0,0.498314594,0.495960196,0,0
252,0,0.575347349,0.594317867,1,1
253,1,0.860988783,0.936249024,1,1
254,0,0.432041218,0.450849463,0,0
255,0,0.375793748,0.481041198,0,0
256,1,0.513554089,0.479927047,1,0
257,1,0.708326869,0.901275821,1,1
258,1,0.469199533,0.410671037,0,0
259,1,0.482349214,0.50778452,0,1
260,1,0.578848493,0.553917,1,1
261,1,0.518666945,0.511846945,1,1
262,0,0.442276167,0.65747214,0,1
263,0,0.45955621,0.407216001,0,0
264,1,0.579363428,0.519852467,1,1
265,0,0.446918917,0.433452952,0,0
266,1,0.663752138,0.705545522,1,1
267,1,0.553881269,0.331615897,1,0
268,1,0.497366434,0.538101063,0,1
269,0,0.630512831,0.644903781,1,1
270,0,0.511714573,0.475529731,1,0
271,1,0.379082581,0.243245858,0,0
272,0,0.39386383,0.358066068,0,0
273,1,0.669956613,0.713160187,1,1
274,0,0.307986363,0.282109926,0,0
275,0,0.370940042,0.379854472,0,0
276,1,0.675538851,0.683721211,1,1
277,0,0.371717955,0.601239608,0,1
278,0,0.432824168,0.410808131,0,0
279,0,0.599490533,0.576642378,1,1
280,1,0.591440394,0.629900101,1,1
281,0,0.47011545,0.46069192,0,0
282,0,0.510198365,0.638450618,1,1
283,0,0.367448541,0.419765977,0,0
284,0,0.452216273,0.544085208,0,1
285,1,0.52872785,0.48265795,1,0
286,1,0.527257127,0.674157258,1,1
287,1,0.630495572,0.620328438,1,1
288,1,0.593905465,0.822413214,1,1
289,1,0.576424019,0.771445375,1,1
290,0,0.2352417,0.269421408,0,0
291,0,0.499702872,0.532199895,0,1
292,0,0.42206569,0.345539974,0,0
293,0,0.473788738,0.405900384,0,0
294,1,0.498754314,0.431691108,0,0
295,0,0.623631935,0.731608605,1,1
296,1,0.579203375,0.503799948,1,1
297,0,0.417852051,0.416965864,0,0
298,1,0.481506334,0.440676327,0,0
299,1,0.690029134,0.665994765,1,1
300,0,0.345841513,0.450542944,0,0
301,1,0.562869367,0.663617974,1,1
302,0,0.432643112,0.402149018,0,0
303,1,0.452681994,0.507526559,0,1
304,0,0.489843248,0.494729563,0,0
305,1,0.693334003,0.654156956,1,1
306,0,0.336638924,0.24154513,0,0
307,1,0.46363761,0.342602048,0,0
308,1,0.661127247,0.79650929,1,1
309,1,0.685450192,0.478481717,1,0
310,0,0.51428994,0.586088148,1,1
311,1,0.647262525,0.801032892,1,1
312,1,0.594525143,0.713383149,1,1
313,0,0.458220194,0.458220574,0,0
314,0,0.485621759,0.406467304,0,0
315,1,0.465732905,0.468925402,0,0
316,0,0.517155172,0.498056177,1,0
317,0,0.529929007,0.722343587,1,1
318,1,0.728312787,0.541803286,1,1
319,0,0.318546414,0.376113674,0,0
320,0,0.446247816,0.515669329,0,1
321,0,0.382343412,0.309872653,0,0
322,0,0.561468615,0.550280138,1,1
323,0,0.473705347,0.410641859,0,0
324,0,0.479747648,0.408096012,0,0
325,0,0.493812119,0.477003565,0,0
326,1,0.613923971,0.56717868,1,1
327,1,0.458225237,0.370546552,0,0
328,0,0.473837134,0.590824658,0,1
329,0,0.382156791,0.343751615,0,0
330,0,0.422378351,0.737055215,0,1
331,1,0.590537913,0.694377767,1,1
332,0,0.506341311,0.369455917,1,0
333,1,0.627674696,0.626638578,1,1
334,0,0.326512061,0.268085597,0,0
335,1,0.403660635,0.594852167,0,1
336,1,0.491604703,0.388408096,0,0
337,0,0.428164723,0.402221772,0,0
338,1,0.561465657,0.532515279,1,1
339,0,0.423754862,0.341177607,0,0
340,0,0.526620528,0.408109385,1,0
341,0,0.547019222,0.527709333,1,1
342,1,0.525417182,0.506866856,1,1
343,0,0.481527551,0.39782469,0,0
344,0,0.589450527,0.705092989,1,1
345,0,0.393971915,0.341972245,0,0
346,1,0.468707935,0.463239576,0,0
347,1,0.527286362,0.530644863,1,1
348,0,0.470163765,0.388590097,0,0
349,1,0.42365044,0.420472945,0,0
350,0,0.407287313,0.51059585,0,1
351,1,0.644783984,0.614835155,1,1
352,0,0.462699645,0.497568327,0,0
353,0,0.54223298,0.462005789,1,0
354,0,0.493259063,0.494297753,0,0
355,0,0.302287038,0.30449262,0,0
356,1,0.422141022,0.42217769,0,0
357,0,0.42598881,0.442505172,0,0
358,1,0.54174191,0.571369612,1,1
359,0,0.415721491,0.329048987,0,0
360,1,0.572363626,0.639599245,1,1
361,0,0.480684448,0.442853375,0,0
362,1,0.639522072,0.668453583,1,1
363,0,0.43543385,0.351893377,0,0
364,1,0.534572786,0.686572788,1,1
365,0,0.712363658,0.77128357,1,1
366,0,0.334604162,0.564053218,0,1
367,0,0.364164412,0.411737819,0,0
368,1,0.481100605,0.467709898,0,0
369,1,0.57282461,0.528188995,1,1
370,1,0.640656715,0.877699156,1,1
371,1,0.62475024,0.708567844,1,1
372,0,0.407269291,0.411856098,0,0
373,0,0.566177555,0.47950742,1,0
374,0,0.446324924,0.61308782,0,1
375,1,0.435049998,0.396867937,0,0
376,1,0.462813073,0.481652843,0,0
377,0,0.406953928,0.390783368,0,0
378,1,0.699284678,0.579855811,1,1
379,1,0.677147723,0.740444543,1,1
380,1,0.423791332,0.413907489,0,0
381,0,0.58279568,0.848839695,1,1
382,0,0.475555933,0.541850196,0,1
383,0,0.374912065,0.292618379,0,0
384,0,0.521436285,0.435749479,1,0
385,1,0.487963669,0.496746476,0,0
386,0,0.404125294,0.446568906,0,0
387,1,0.519134212,0.482908929,1,0
388,1,0.341717295,0.344570225,0,0
389,1,0.6942119,0.646546398,1,1
390,0,0.479825858,0.447712391,0,0
391,0,0.471092107,0.416744819,0,0
392,1,0.492146577,0.366228614,0,0
393,0,0.458028081,0.445903938,0,0
394,0,0.380147867,0.357743747,0,0
395,1,0.453132328,0.467256941,0,0
396,1,0.585720987,0.642308765,1,1
397,1,0.526147598,0.511906873,1,1
398,0,0.544574219,0.50753501,1,1
399,1,0.548282638,0.508745521,1,1
400,1,0.530405243,0.546879905,1,1
401,0,0.404648031,0.468031046,0,0
402,0,0.535731737,0.619308962,1,1
403,1,0.457322396,0.461886369,0,0
404,0,0.388916394,0.412688268,0,0
405,0,0.397880906,0.380310309,0,0
406,0,0.485638811,0.451280332,0,0
407,0,0.352533096,0.390872452,0,0
408,0,0.416311011,0.395978108,0,0
409,0,0.564105835,0.581576015,1,1
410,0,0.441223981,0.4322116,0,0
411,0,0.402852421,0.441550574,0,0
412,1,0.353278021,0.420455635,0,0
413,1,0.712363658,0.717346466,1,1
414,0,0.566368779,0.48756078,1,0
415,1,0.575455405,0.843503095,1,1
416,0,0.474267042,0.49495317,0,0
417,1,0.468142597,0.552952244,0,1
418,1,0.418871922,0.425005706,0,0
419,0,0.501727011,0.46857481,1,0
420,1,0.510170464,0.508947868,1,1
421,1,0.639894397,0.634750878,1,1
422,1,0.410751363,0.388355113,0,0
423,0,0.404528585,0.368612629,0,0
424,1,0.57258426,0.5703287,1,1
425,1,0.474197757,0.394746404,0,0
426,1,0.448084091,0.447475331,0,0
427,1,0.551345907,0.718774532,1,1
428,0,0.55371668,0.657427753,1,1
429,1,0.562514651,0.570628717,1,1
430,1,0.685053622,0.352333572,1,0
431,1,0.605197973,0.505122384,1,1
432,1,0.558965296,0.625683789,1,1
